[2025-10-23 22:55:40.488] [INFO] [MESSAGE] USER | Registering user: testuser
[2025-10-23 22:55:40.580] [INFO] [MESSAGE] USER | User registered successfully: testuser
[2025-10-23 22:58:28.742] [INFO] [MESSAGE] USER | Registering user: testuser
[2025-10-23 22:58:28.839] [INFO] [MESSAGE] USER | User registered successfully: testuser
[2025-10-23 22:58:58.888] [INFO] [MESSAGE] USER | Registering user: Vasanthabalan
[2025-10-23 22:58:58.895] [INFO] [MESSAGE] USER | User registered successfully: Vasanthabalan
[2025-10-23 22:59:05.810] [INFO] [MESSAGE] USER | Registering user: Yokesh
[2025-10-23 22:59:05.817] [INFO] [MESSAGE] USER | User registered successfully: Yokesh
[2025-10-23 22:59:14.752] [INFO] [HANDSHAKE] Handshake data stored | Recipient: Vasanthabalan, Sender: Yokesh
[2025-10-23 22:59:15.946] [INFO] [HANDSHAKE] Handshake data retrieved | User: Vasanthabalan, Count: 1
[2025-10-23 22:59:18.958] [INFO] [HANDSHAKE] Handshake data retrieved | User: Vasanthabalan, Count: 1
[2025-10-23 22:59:19.215] [INFO] [MESSAGE] Encrypted message relayed | From Yokesh ? Vasanthabalan
[2025-10-23 22:59:21.431] [INFO] [HANDSHAKE] Handshake data retrieved | User: Vasanthabalan, Count: 1
[2025-10-23 22:59:21.498] [INFO] [MESSAGE] Retrieved messages | User: Vasanthabalan, Count: 1
[2025-10-23 22:59:23.508] [INFO] [HANDSHAKE] Handshake data retrieved | User: Vasanthabalan, Count: 1
[2025-10-23 22:59:23.571] [INFO] [MESSAGE] Retrieved messages | User: Vasanthabalan, Count: 1
[2025-10-23 22:59:25.585] [INFO] [HANDSHAKE] Handshake data retrieved | User: Vasanthabalan, Count: 1
[2025-10-23 22:59:25.622] [INFO] [MESSAGE] Retrieved messages | User: Vasanthabalan, Count: 1
[2025-10-23 22:59:27.635] [INFO] [HANDSHAKE] Handshake data retrieved | User: Vasanthabalan, Count: 1
[2025-10-23 22:59:27.700] [INFO] [MESSAGE] Retrieved messages | User: Vasanthabalan, Count: 1
[2025-10-23 22:59:29.718] [INFO] [HANDSHAKE] Handshake data retrieved | User: Vasanthabalan, Count: 1
[2025-10-23 22:59:29.779] [INFO] [MESSAGE] Retrieved messages | User: Vasanthabalan, Count: 1
[2025-10-23 22:59:31.796] [INFO] [HANDSHAKE] Handshake data retrieved | User: Vasanthabalan, Count: 1
[2025-10-23 22:59:31.849] [INFO] [MESSAGE] Retrieved messages | User: Vasanthabalan, Count: 1
[2025-10-23 22:59:33.859] [INFO] [HANDSHAKE] Handshake data retrieved | User: Vasanthabalan, Count: 1
